text,labels
🔴 عاجل .سابتكو ترفع قضية مطالبه تعويض على نادي النصر محتواها.1 اسطب خلفي يسار2 اسطب خلفي يمين3 شمعة يمين 4 شمعة يسار6 مسحات شمعات7 مسحات زجاج امامي8 مسحات زجاج خلفي10 زجاج عدد 8 11 سمكرة بديالله يعين النصر بيلقاها من سابتكو ولا الجماهير ولا الباطن 😣 😣,1
انت لا تملك سوى عمر واحد ☝ لذا ابحث عن راحتك وافعل ما تشاء 👊,0
"حب الانتر نت صدق او كذباهني الي سوا الهاشتاق يعني خلصت المواضيع, ولله من الفضاوه والسخافه 😤",0
اقوى جزء على مر السلسلة 😣 ❤ ️. اتمنى يكون لها ريماستر 😍 🔥,0
الك 💩,1
بايع الكليجا من العام اشوفه يبيع ويسترزق الله حاله حال نفسه سالفه التصوير والتشهير فيه قله ادب اللي قاعد يصير البنات م عاد يستحو 😷,1
دول بيكونوا جواسيس ع الهيئة ويستاهلوا قطع رقابيهم مش عيشهم 😡,1
ولاد عبد الناصر. مليارديرات.ولاد السادات. مليارديرات.ولاد مبارك. مليارديرات.ولاد الوسخه. واقفين يهتفوا للعسكر 🐸 ✌ 🤔 😂,1
شو القاسم المشترك بين الملحد والحمار? لتنين بشنهقوا 🐸,1
اقراء كلامه حرف حرف 🔪 🌚,0
نمت وراحت علي المحاضره الاولى 😣,0
"تحدق ها, 😂 👊 ⛏",0
يا تعاون يا زق شف لك حل عاد عثرتنا و فزت علينا سكتنا الحين دور الهلال تفوز عليهم يالزق سمعت?! و بعدين انت يا الشباب شف لك صرفه رئيسكم يقول ما احد ياخذنا رايح جاي صحيح النصر اخذكم بس عاد الهلال لا ياخذكم وش ذا العار? كل الجيران يصقعونك و يمشون? الاتفاق كل زق,1
دنا ممكن اجيلكو بورسعيد مخصوص على الكلام ده يا شوية رمم يا بتوع مسلسلات البورنو 🤣 🤣,1
حسبي الله ونعم الوكيل 👎,1
اف شو طلعت 👎,0
بايع الكليجافشلونا الخفيفات. ويقولون الشباب خرفان 😷,1
الاصنام اللي لا تكلمو اكثر واحد شقال لهم رتويت انا زين ياحيوانات انا صرت رتويت اكتروني لكم عطوني رتويت 😡 😡,1
يا غنام يا عفن يوم جاء وقت الحسم تجي ورعنتك ورعونتك,1
رجعوه انتم تلعبون بالنعمه ايترك دياز بهذي الفتره الصعبه والحاسمة والمصيبه العاهات ليتها تسترجل بالملعب لاروح لا اصرار وتلومونه 💔 💔 😩 😩 😤,1
مالي دخالت توتير في 2012 تلقيت شي بندم خصوصا من مصر تقلو لينا علاش جيتو لي توتير ليه ارجعو للفيس يا شويا رعاع يا همج يا مت...,1
عرفتو يا رجاله الريس حددلكم ايهيلا البسو علشان خرجين 👈 🐏 👉,0
يا كذبك يا عطوي خاف الله,1
يعني لا هيبقي في عريس ولا ناكل جاتوه دا حتي ظلم 👊 👊 😂,0
ياللي ما تستحين طلعتي تعرفين تطبخين 😩 👊,1
بعمل ايه كتير! خ هو انت عشان قعدت معايا مره خلاص كده انت بقي فشيخ وبتقرى الناس وبقت كتير! وبعدين المره اللي قعدت معاك تقريبا اتكلمنا ف الكوره بس فشوفك دوج ي دوما 🐕,1
صح كلامك لازم احد يذكر الثاني بالخير والله يسعد الجميع 😂 👊,0
اقصى ماعندك تنبحين في تويتر يا الضبعه يا ذنب اليهود والترك والفرس اهم شي خليك على هذا الوزنيه,1
شو عقوبة اللي يخرب مودج من الصبح? 🙂 🔪,0
خذ يابو رخاوههذه جامعة طيبة اليوم 😠 😠 البعض يعتقد ان المشكلة تكمن في قطرة تسقط...,0
"انا اشعر بكل شئ .كل شئ, وهذا امر مرهق للغايه 😣",0
"يا كوايتة يا مغفلين! اطردوا الكلب هذا, داوموا مبجر و اللي يشوفه يصور ورقة يساله شنو قاعد يسوي? و يهاوشه و يطرده بسرعة, اللي كاتب هالكلام يقول ""ما يقدر عليه الا الله""?! الا من رداكم! قولوا له ""اذا شفتك تحوس بين مكاتبنا مرة ثانية رح اكسر رجلك"" يا كويتيين يا مغفلين 😡",1
الشيخ عبدالله البكري 😤,0
يانهار مش بايله لون 😂 حضرتك من ضرب لعض ورخامة وكل حاجة حلوة 😂 😂 👊,1
وع 🤢 الله يقرفهم,1
فيها 👊 😅,0
احول 😬 👊 😂 💔,1
بايع الكليجا ومن واقع نظرتي للمجتمع السعودي هذي نتيجة وافرازات ما يفعله الشباب السعودي (ارفعوا من قيمة اللي ماتسوى التالية من الغنم الى افاق السماء) من النساء الغير السعوديات قديما القنوات ومؤخرا في السوشال ميديا وحركوا غيرة البنات السعوديات المحجبات العفيفات وهذه ردة فعل 👊,0
ومين قلك يا خول يا معيرص يا بتاع الشوال احنا عايزبنه,1
معليه في الوكيند يصير خير 😠,0
عيل كثري من الكوكيز 😡 ه,0
طيب بمناسبة الوساخة. انا هنا علشان اوسخك يا اوسخ من الوساخة اللي عمرها مهتنضفولو على النطاعة فانت معاك شهادة خبرة و لقبك سيد الانطاع ولو على الخره فده دليل على انك متربي في بلاعة وبتاكل من قاعدة الحمام ها كمان ولا اتكيفت يا وسخ,1
بس يا ابودتسة انت اسكت يا حصالة يا عرة تاريخ افريقيا و العرب,1
اه يا معرضين يا ولاد المت. اطمن انت مش لوحدك,1
داقين خشومكم يا طواقي يا صغير الرياض يا وضيع يجيبها لك الاتحاد اكبر من تاريخك,1
تعجبني الخدامة الاثيوبيةاذا حقدت على احد تذبحه على طولوانا اذا حقدت شاطر بس اكتبواضحةمقصودةكلام يدل دربه 🙉 👌 🏃 ♂ ️ ودي احط هاالاثيوبيه حارس على بياع الكليجا هالضعيف بياكلونه بناتنا المشافيح بايع الكليجا,1
وثاني يستغل الاخبار وربطها بالولايه 😷,0
ثقل طينه وسماجه ويجيب ال 🤮 🤮,1
To the dogs of Chelsea idiots criminalsهذا هو صلاح يا معذبهم يا صلاح انتم الارهابيين انتم العنصريين انتم المجرمين,1
نصابين 👎 رفعت مليون تذكرة قبل ولاحد فادني,1
"فعلا عندگ حق يا ليدي قهوة كله بيروح فى الكينيف يا كيكي يا بي بي. ياختشي,. منورة اقسم بالله مساكى انجوي و سعيد يا قمر و مرورگ الاجمل و الارواع, بس الصراحة الله يقرفگ يا اؤزعة يا ليفة و تتمسى بما تتمنيه يا ابت.! 😱 😱 🙈 😂",1
😂 😷 تلاقي الخير يارب,0
انتي ماقلتي شي بهالمناسبه 👊,0
بالله عليك خلاص بقي ولا اديك بالبوكس 👊 مابزعلش من حد انا ولا بزعل منك,0
انجبي 😡,0
"والله العظيم ماعاد فيه حياء وقلة ادب في البنات, والله ومالوم ابو جهل لما يدفن البنات كان عنده بعد نظر ابوجهل. 😡 😠 😠",1
جب اكرهج 😤,0
ماهذه الوضاعه يا هوههل اصبح اتحاد الكرة السعوديهندا للهلال وينافسهكبير يا هلال كبير يا هلال 💙.,1
شنو هالبنات اللي فصخن الحياء يتغزلن ببائع الكليجة وهذا انا ازين منه محد تغزل فيني 😏 عمى بعينكن ماتستحن 👊,1
انت تحترم نفسك في الكلام يا متخلف انت يا تتناقش بادب يا تحط الجزمه في بقك قلة ادب! ثوار و بيدافعوا عن الحق و الدين و اخلاقهم زباله,1
هامشهري جابر زادهابشع جريمة صح? طيب والملايين في الدول العربية خاصة شو وضعهم? حمير وخلاص? مب بشر ذوله? يعني تمويل الارهاب وتمويل البغدادي وتمويل الثورات وتمويل كل زهر ومار ولا شيء? انت شو من البشر? انت انسان ولا شو? L,1
يا بن المتناكه يا ميسي يا معزه الكلب احا,1
"بايع الكليجاماشفت بنات الخليج يسوون كذا!, شفيكم مشفوحين ولا مكبوتين ولا شسالفتكم?? 😷",1
له يا طرش البحر يا الساقط له. والله ما عرفنالك اهل.,1
هذي قلة ذوق حتى بعض الناس ف البوفيهات هذي حركتهم تمشي وتذوق بالملعقة 😷 مقززة,1
بايع الكليجا هطلع لك بكل برنامج 😷,0
عادي انا احلى منه 😢 ☹ 😣 😣,0
هذا كان سوال! يارب يجاوب شي حدا انتم الواحد يكون يموت ما تسعفوه 🙉 بس احكوا قولوا حتى ما تعرفون 😡,1
يا تقل دمك يا مدحت يا شلبي,1
ه انزين انزين بعديها هالمره والله باجر الساعه 3 بكتب صباحكم انا واجوفك تقول انا اول 😂 💔 😤,0
يارب سهل ولا تعسسر 😣,0
حتى النوم عجزت انام 😷 😭 💔.,0
اخونجية الفقر 👊,1
"صاحية من النوم فيني محنة, منو يطفيها?! 🙈 🙉 🙊 كس محنة ممحونة كسي مكوة طيز شيميل بنوتي ليز سحاق ديوث دياثة قحبة م...",1
مين يسوي لي كذا?? ☺ ️ فيه واحد بس. زعلان منه 😡,0
ودي اصير بودي جارد عند راعي الكليجا ومعي عجره اي ذئبة بشرية تحاول تصوره وتضايقة افقع راسها. 😠,1
هيا 🙅 ♀ ️ 👊 🗡 🛡,0
لا معليش ماتفقنا كذا اوفر 🙂 💔 🔪 🔪 تسجيل خروج من كوكب الارض 🚶 ♂ ️ 🤦 ♀ ️. بايع الكليجا,0
ستين نيله اما تاخدك يا سافل يا حيوان باللي ملقتش حد يربيك و لا يفهمك دينك جتك خيبه انت داهيه تاخدك,1
مش لجان يامتخلفهدول مصريين وطنيين يعرفون قيمه بلدهم وخطوره المرحله التي تمر بهاواذا كانت عقولهم مهترئه كما تقولين فهذا رايك الذي لاقيمه له علي الاطلاق لقد تم طردك لان المصريين يعلمون انكي تعملين ضمن اجنده قذره الهدف منها زعزعه امن واستقرار اوضاع مصرحتي اسالي كلاب قناه العربي 👊,1
وش ذا القرف 😷 تويتر صاير كريه وهاشتاقات متخلفه!,1
صباحيه مباركه يا حمرا يا شرموطه يلي ديما من الافارقة مزنوقه 😂 😂,1
الريال واضح ماعنده شي للشعب يا بدون يا سوريا والعراق ليش تنتخبونه ابي مره اقتراح مدروس مقنع ينفع الكويت والشعب سوسو عيب عليك بس عاد,1
وش جاب اولاش لا ابراهييم فرق والله ابراهيم عظاام 🙂 🙂 👊,0
استغفر الله شفنا حقاره بس نفس حقارتكم ماشفنا. فليقل خيرا او ليصمت عندك شي تواسي فيه الرجال اكتب ولا اذلف يالطبل 👞,1
بايع الكليجاياخزياه بس هذا الي اقدر اقوله احسه يقول وش يبن ذولي ☝ مير اعقلن يالمرجوجات ماشاء الله هذولي الي يبن قياده ووظيفه وولايه ماعندكن عقل هبال اركدن اثقلن ماش هالزمن زمن الخفاف ✋ هذا تفكيركم يفشل حدكم قرص كليجا من وسيم مب مزيون ✌ سواقي لو يحلق انهبلتن بساقته 🐮 🐮,1
هذا يشبه المتحرشات 😷,1
"دبي هي الفيها تبطح يا متبطح يا قبيح, الجندي السوداني هو الرجل الوحيد الذي ثبت امام الحوثي يا تافه, ولولاه لوصل الحوثي لدبي",1
تطلعلي فكل مكان انتا 🙂 💔 🖕,0
😷 قوم اذا مس النعال وجوههم شكت النعال باي ذنب تصفع,1
يا مغفل يا تنكه اقطع واخس وافهم سياق الكلام كنت اتكلم عن كل ملتحي متشدد اخونجي غرضه سلطوي خبيثاقلب وجهك بس وتقلع,1
اللى ÷ راسه بطحهب يحسس ÷ ها 🤔 😈 🖕 ▶ ️,0
بلوك ثلاثتكم ازعجتوني 😤,0
وسخ وليس وصخ هاه مين الوسخ فينا يا نجم يا ساحلي يا تونسي,1
والله يا ليتني بامزح او ابالغللاسف المدارس الحكومية مليانة مدرسات بامراض نفسية ومن ارذل الخلق وجع في اشكالهماحس امكن كانو يعذبونا اكثر لان البنت عادي ضعيفة وتسكت.في الابتدائي ابويا اضطر يتصل على المدرسة 6 مرات عشان يشتكي ويقولهم خير ايش بتسوو في بنتي 😡,1
منتا من كم يوم كنت اتطعم هون يا متناقض يا فاشل.للعلم انا مش ضد التطعيم بس ضد التناقض,1
لاتبوس راسه بوس رجله بوس رجله ياواطي يا عبد يا صيادي لعنة الله عليك وعلى روحك الخبيثه. يلي ما معاك عرض ولا شرف تسمح الغازي يدخل بلادك. با الامس انتو مع الزعيم. واليوم مع الغازي. سيسجل لك التاريخ ابشع ماقمت به وستنفي من البلد وهويتك ايضا عما,1
حوار انك تسال على حد مبيسالش عليك وتبقى احسن منه ده حوار مبياكلش عيش 🙉,0
قضى عمري و انا اقول هتعدي 😤 💔,0
بايع الكليجامحنه صباحيه 👎,1
مبارك ارفع نفسك عن القمامه 😷,1
لو استمريت ع كدة هبقى شبه البقر الي عندنا ف السايت 😍 🐄 🐂,1
كله خلاص نقل تويتة عندكم بيض تلونوه ولا ابعتلكم ناس اعرفها? نقشتها يا بيه? والانسة ورا نقشتها هي كمان? يا عالم يا بضان يا بتوع الكوبي بيست,1
انا م قلدته? انا بس قريت الكلام اللي مكتوب! 👊 🙂,0
"عشان يكتبون بالجريدة ""الديبلوماسية الكويتية تسعف سورية"". 😷 ديكور",0
اصيلة 🔪 😒,0
- هو انت سبتها ليه يابني.?! عشان انانيه. 😒 عيزاني ارتبط بيها لوحدها انت متخيل. 🐸 - لاا غلطاانه طبعا. 🔫 😂 😂,0
اقول انثبري بيبيتتس وحوشي عيالتس 😂 وعينتس للبيت والمطبخ والواتس 😁 👊,1
راح ابجي اني الحلوه اخيرهم 😡 😢 😢,0
اخيرا قررت اعتبر الفراوله من الحمضيات 😤,0
خلاص واضح انك بلا حياء 😷,1
ه لا انا مستكن الاصلي وهو التقليد لكن هذا الزمن للاسف مجحف بحق اجمل جيل الا هو احنا 👊 😝,0
بايع الكليجا لا حول ولا قوه الا بالله خافوا الله ياخي الولد يبي يترزق وانتوا تسمعونه كلام غزل ومدرس ايش استحوا شوي 😷,0
تعابيره كانه يبي يقوله ريحتگ حمود 😬 🤢 بس لانه عارف ان ريكي ظالم خايف يقول 😐,0
ه ضروري ضحكتك الشريرة 👊 💐 يسعد مسائك 😊,0
ما اسمعك يا ضفدع يا ابو موسم صفري 🐸,1
بايع الكليجاتدرون وش يغبن انو مخلينها عياره بينكم 😤 الشباب يعايرون البنات والبنات يردون ليش حلال عليكم وحرام علينا? عفوا ترا حرام عليك وعليه جد جد وربي شي مبالغ فيه بشكل خيالي شخص ويسترزق الله خليتوه مشكلة اجتماعيه ليش?? والي يسب والي يشتم بالله لهالدرجه الفضاوه بفهم,0
يا كافر يا مرتد يا خوارج عم تتمصخر عالسيف,1
قلبي 😡 💞,0
لاتعممين لو سمحتي 😡 😡,0
بس راح اساعد الااول 😤,0
اتوقع نظام الحمدين علشان يتنظف لازم من الفلاش وكلوركس وليفة حديد. 😷 😂,1
وانا رحت فين يا كلباها ولا نسيتى الهاند الواحده الى مكنا بنخلعها 😂 💔 👊,1
ديقاج انت تاني يا السراق يا لحركي يا لكاشير 😡 😡 يتنحاو قاع,1
.ضع تحت قدميك كل كلام مبغضيك وستعلوا لتدوسهم ب 👠 😷.,1
انا ادري ذابحتهم الغيره في الاستقرام من كثر ماخقيت على المزيون 😍 ابو كليجه جوني كثير شباب يتابعوني وانا ماعندي شي اقدمه بحسابي 😅 والي مسوي نفسه شريف بس ماخليتهم قصفة جبهاتهم 😤 لان كل واحد حر برايه ويوم ام غمزه اشوف عادي الوضع عندهم ليش يجوز لهم وحنا لا 😒,0
جنكيز لاعب روما مطبل له بشكل غير طبيعي. لاعب ناعم وجسمه ضعيف! امس رودريغيز البطيء وقفه كل الدقايق اللي لعبها ولا شفت له اي لمسه حلوه حتى يخرب بيت التطبيل بس 😷,1
سبب خسارة تشلسي 👇 كارثة رياضية تمشي على الاقدام 👎 مانشستر يونايتد تشيلسي,1
مقامك ياكلب 🐶 💜 👍 سكس سادي عمه ترويض كلب نيك طيز زب لحس مص ذل انحراف مطيع كلاب اربعيني ساديه عنف فحل ك...,1
الخليفه لتيمومش فاضل غير انا وانت يا دزمه يا ابن الدزمه,1
"يامحمد انزل البلد بسرعة فيه ارهابيين لقيناهم ولازم تشيلهم من فوق الارض شيل 👊 😂 😂 بلحة لرئيس الاركان عن الارهابيين ""يتشالوا من فوق وش الارض بكل قوة وعنف يا محمد"" المصري اليوم عبر",1
يا ناس يا اوڤر يا ساقعين 😑,1
ابا اسافر خلاص الوضع لا يحتململل ملل ملل طفشان 😣,0
هو انا شتمتك 😂 👊,0
الشمال 😣,0
صج? 😷,0
(ثم لتسالن يومئذ عن النعيم) صدق الله العظيمالصورة 🖕 اطفال الكويتالصورة 👇 اطفال افريقايا رب.اسالك...,0
يخربيتك يام صاج 😡,1
جمهور الاتحاد في 10 ساعات خلص التذاكر 😂 😂 🐸,0
بي نوم وزين اقراء 🙂 👊,0
ماكلك 😷,0
هو مدافع عن احد هو قال الي يشوفه وصدق زي مافي جهل وقلة حياء بالبنات في نفسه عند الرجال 👎 《 وبدون صيغة التعميم طبعن 》 والله يستر علينا من التخلف الي جالس يصير,1
قسما بالله اذا شفتك ل انيك اهلك كس امك ما غير تمحنينا وماتردي 🖕 💦,1
يا جامعية يا فاهمة و يا عاقلة ما بتموتين اذا شليتي وصاختج و قطيتيهم فالزبالة 🙂,1
لبس لكم كمامه 😷 واضح انه مايبغى الشهره وانه متضايق وموعاجبه الوضعينرحم خلاص خلوه يترزق الله بدون جمهره ومضايقات 🙂 ✋ بايع الكليجا,0
فاصل فكاهي 😅 😂 😁 😂 😅 اذا رئيس وزراء لبنان لا يعلم كم هي سعر ربطة الخبر 😲 😲 وقال 500 ليرة 😁 😂 فصح له احد الاطفال! شخسعد سعر ربطة الخبز 1500 😲 اكيد لانه ياكل خبر سويسري 😠,0
فقط في مصر 😂 🙈 🙉 🙊 لو ركبنا اسانسير يقولولك تخيلوا لو وقع بينا!? -لما.,0
وراتس 😂 👊,0
- -السيسي ده ديكتاتور و بيسجن الراي المعارض لازم يبقي عندنا ديمقراطيه و تقبل لل راي الاخر. -انا بحب الصيف و بكره games of thrones - -يالا يا متخلف يا زباله ابوك علي ابو ال جابك!,1
"الاطفال ملايكة يا حبش يا اولاد الكلب علاش تستغلوا فيهم وتجندوا فيهم لاجندات هم ليس لهم فيها ناقة ولا جمل, ولا دراية ولا علم.خلوا الصغار بعيد عن العبيتر الي اديروا فيه يا ولد السلطانة انت وياه",1
"لحول من المنافقين الي ذابحهم الاستشراف قبل شهور خاروف ليفانكا والحين يتظاهرلنا بالعكس ""وين اهلهم رخيصات ضاع الحياء"" ابلع تبن 😷 بايع الكليجا",1
هلا انت عشان تشرح وجهة نظرك طبعا لازم تهاجم المسيحية يا مسكين يا تابع محمد و عمر بن الخطاب و ابو لهب 😂 بتوقع كنت يا زبالة الاسلام تشرح بدون ما تهاجم. كلمة زيادة لامسح الارض فيم و في الي بتتبعه. اشرح بادب يلا اقلب,1
ياولاء مانمت زين وتاخرت دقيقه ويلا دخلني يهاوش الله ياخذه وش هالصباح 😣,1
انا اللى اقول كده بس 😂 😂 👊,0
طماع 😂 👊,0
صباح المشيه للجامعه 🤮 😭.,0
بعزيمه الرجال الدوري للهلال 👙 عزيمة الحكام وانتم الصادقين 👊 بعزيمه الرجال الدوري للهلال,0
يعع هالسامج توي امس شايفة له مقطع بالانستا 😷,1
افضح معنفك 😡 معلمة الحياءاظلمتني لماشكت اني غاشه في المتحان واحلف لها ماصدقتني ودخلوابالموضوع صديقاتي 😎 ورفضت وعصبت عليها ورميت القلم وطلعت,1
كيف نطلب من مجرم متوحش له خبره باباده الشعوب ان يعدل بقضايانا او يحلها. وبعد هذا مله يصمون الدين الاسلامي الرحيم بالارهاب. ياعيال الحرام لكم يوم لا تستاخرون فيه ولا تستقدمون. عند الله سبحانه. الحين عرفت لماذا خلقت النار 🤔 😤,1
يا ابن الجزمة يا دي خيا,1
بايع الكليجامستوى الاعلام 👎,0
"بايع الكليجا ""الحياء شعبه من الايمان"" يمين الله يابعض البنات قليلات ادب فيهم خفه وعقولهم ماتزن شي من خفتها باعوا الحياء الحمدلله والشكر 👎",1
ياشينك تكفا وحاطلي تعداد بعد 🤢 💔 ماهي من الرزانه ولا العقل ولا منطق ابدا بنات يتجمهرون ع رجال مافيه اي حياا! لدرجة صار يغطي وجهه لو هو مسوي العكس كان قلت تحرش يالنسونجي,1
شعب مريض نفسي حتى بالتويتر الكل شايف نفسه 😈 وعند البنات خرفان وعندي شيوخ ملطلطين 🐸 هزلت,1
هاي اخر المزبلة اللي عايشين فيها 😷! شكلوا صار لازم نحط بين كل مواطن ومواطن شرطي مشان الناس تستحي عدمها! لا دين ولا اخلاق.,1
الدب هذا ماخذن القرارات قدحه من راسه حسبي الله عليك ويارب نشوف عواقب هالقرارات فيك عاجلا غير اجل وباذن الله تنكشف كل الاعيبك 👊,1
يقطعوها امانه جيفو بنا من شمها 😷 😂,1
قومي ذاكري 😂 👊,0
بايع الكليجا خلاص خلاص الوضع صار اوڤر مرره 😒 حتى الرجال باين مو طايق الوضع 👎.,0
صلاه الجنازه القادمه انتمن يوم صار الترند ينشرا بفلوس وحنا من جرفه لدحديره بين المنحرفين والمتشددين 🙄 🤢,1
نعم كلام مئه بالمئه صحيح 👌 لان البعض عنده مشكلة في فهم من هم الذين يحبون الكويت بالحقيقه ومن هم كالافعى تختبئ تحت الشعارات لتلدغك لقتلك.المهم سلملي على كرامة وطن واكادمية التغيير 😛 😜 اما المملكة والحوثي ومن يدعمه فعيالنا وعيال الخليج المخلصين بيدوسون على راسك انت معاهم 😠 😡 😠,1
العربي 😤,0
ه 😂 🤢,0
طبعا مش هنعرف نعيش من غيرك يا بنت قلبى يا كلبوبه انتى متقوليش كده تانى يا كلبوبه 💞 💋,1
جعل مايهايط غيرك يالشامخمعليش يا الناقة زعلك الفهد انت والسلقكل مافي الامر رجعت المياه الى مجاريها والبطولة تنادي يا هلال فهمت يا قوطي يا حفاظه 😂,1
يختي نظفي اظافرك 🤢,1
NewProfilePic متشكرين يا بصلة يا ابن العبيطة ❤ ️,1
بنحبك وبنحترمك جدا يا دكتور علاء يا ابو نيكه,1
فشلونا والله هالمشافيح 😷,1
هيبتة 💔 😷,0
بايع الكليجا وضع البناتالي صورو 😂 🔪,0
انت الناقص يا جاهل يا متخلف من كلامك يبين انك شخص الحيوان اكرم منه ومستشرف ضعيف العقل,1
صباح ال GERD اللي مطلع عين اهلي 😪 😷 😷,1
يارب ثبتني والا اسدحها نومه المحاضره الاولى 😤 🙂.,0
حكمة اليوم يوم التنين خلص ب شغلك حبتين 🐸,0
ه لا ماعليك بعالجك 😂 👊 👊,0
الذكاء الاصطناعي دا قسم عندنا ف الكليه يا اهتم يا ابن كوم الهتم 😂,1
خذ زبده الهرجاخوانا السعوديين هذا شنو قصته وياناكلش الكويت والكويتذابحين ابوه ولابايقين حلاله? بتسكتونه ولا نتصرف وياه? 😏 🔪...,1
- من امس وانا اجيب العيد بفهاوتي يالله 😷,0
ايام مين ياعمي 😂 🔪,0
